group_type,k,s,err,delta,noise_scale,n,weight_decay,hit_rate,proxy_hit_rate,correct,proxy_correct,episodes,mean_reward,wn_policy_net_0,wn_policy_net_2,wn_action_net,weight_norm_actor,wn_value_net_0,wn_value_net_2,wn_value_net_out,weight_norm_critic,weight_norm_total,fit_status,fit_L,fit_A,fit_tau,fit_L_err,fit_A_err,fit_tau_err,r_squared,rmse,fit_points_used,source_file
margin,11,1.0,0.0,0.09090909090909091,,,0.0,1.0,1.0,500,500,500,1.0,5.82022867590432,16.575929460385662,6.202567899764092,18.6308439923339,2.8292818258923624,8.040898166768736,1.064612011086444,8.59035957994886,20.515911522023664,ok,-43776.42280046279,-43776.97859323709,-15498830011.746998,26905.719332988378,26905.71940818852,9525504231.537409,0.6501538794248066,0.1200462102727798,200704,per_layer_weight_norm_rerun_7.csv
margin,12,1.0,0.0,0.08333333333333333,,,0.0,1.0,1.0,500,500,500,1.0,5.883828889704093,16.747750700620095,6.344983674113583,18.85113826160652,2.927257781526396,8.029960685149923,1.0471526981276615,8.610785997675027,20.724648350598414,ok,0.975505162464851,0.8459420774808564,34825.560175694045,0.0001151932604959,0.0003200084263709,26.079667368196105,0.9785752822687188,0.0298420088778582,200704,per_layer_weight_norm_rerun_7.csv
margin,13,1.0,0.0,0.07692307692307693,,,0.0,1.0,1.0,500,500,500,1.0,5.745871025452374,16.644094723301983,6.373837629060006,18.726097541159056,2.943757767474705,8.061086027038131,1.0397677712479605,8.644532072183145,20.625097911719266,ok,0.967451093704042,0.8189093546060986,37038.36599013325,0.000115676123747,0.0002962249891564,27.46377734088908,0.9797583289456668,0.0284733049554112,200704,per_layer_weight_norm_rerun_7.csv
margin,14,1.0,0.0,0.07142857142857142,,,0.0,1.0,1.0,500,500,500,1.0,5.800907539508548,16.924874731104566,6.511530025229636,19.039483612088222,2.884461972546535,8.050220950312319,1.0360069914213128,8.613912508621635,20.897402348645254,ok,0.9624902311487356,0.8302833625745746,37290.72233043197,0.0001185098323113,0.0003006946787514,27.79538671920945,0.9796399645142634,0.028998904671488,200704,per_layer_weight_norm_rerun_7.csv
margin,15,1.0,0.0,0.06666666666666667,,,0.0,1.0,1.0,500,500,500,1.0,5.714091761897211,16.801470389619634,6.579790025825861,18.92706762022592,2.893382061827782,8.089632381512704,1.0783978467142823,8.658911810356061,20.81371284610528,ok,0.9562951383114676,0.7920429266796065,40536.96981903764,0.0001277200688796,0.0002881316014399,31.99146039868544,0.9785185388535934,0.028928332360157,200704,per_layer_weight_norm_rerun_7.csv
margin,16,1.0,0.0,0.0625,,,0.0,1.0,1.0,500,500,500,1.0,5.8148330369589525,17.603533243788227,6.535943603940252,19.65744705465982,2.906623075494025,8.057459328408525,1.0609785871088602,8.631151956387711,21.46886137644494,ok,0.9579229414879094,0.7959831697373819,42748.6640437779,0.0001264167068275,0.0002636475305497,31.85407561189061,0.9815836307144882,0.0271367765808383,200704,per_layer_weight_norm_rerun_7.csv
margin,17,1.0,0.0,0.058823529411764705,,,0.0,1.0,1.0,500,500,500,1.0,5.858901747347205,18.220107762434694,6.556228205272562,20.2307484992378,2.919294115030973,8.058277067506932,1.042774234036118,8.633972754759666,21.996105800103454,ok,0.9586039731531036,0.7817746095467638,47151.778108414605,0.0001437199887845,0.0002576102159919,37.56086176694186,0.980722453551142,0.0276858632542449,200704,per_layer_weight_norm_rerun_7.csv
margin,18,1.0,0.0,0.05555555555555555,,,0.0,1.0,1.0,500,500,500,1.0,5.776560564585107,17.474347060684096,6.6621624894290905,19.573090358681604,2.97689526617699,8.1021232125854,1.0603128635753591,8.696583774469461,21.41813333452475,ok,0.941283937977278,0.762854067786802,47093.26794563884,0.0001458812854514,0.0002619882905735,39.062867970853056,0.9791092447976748,0.0281421109071277,200704,per_layer_weight_norm_rerun_7.csv
margin,19,1.0,0.0,0.05263157894736842,,,0.0,1.0,1.0,500,500,500,1.0,5.827595310839156,17.7557574407597,6.631210114637082,19.82928987600093,2.937770194451136,8.080988822737744,1.0422621179496416,8.661361578362301,21.638389990422205,ok,0.9362862870333402,0.7441759365303504,49299.89924096344,0.0001619554207524,0.0002704120909344,44.81496345040455,0.9760784968150128,0.0295845700636274,200704,per_layer_weight_norm_rerun_7.csv
margin,20,1.0,0.0,0.05,,,0.0,1.0,1.0,500,500,500,1.0,5.892014696232051,18.16120038853533,6.667930772130736,20.22390510052593,2.937569234417652,8.050379539029361,1.0547852378169196,8.63426288847729,21.989925719347365,ok,0.9409463779577,0.7477358696038658,52326.72381648791,0.000166118425123,0.0002520077678539,46.21085245570657,0.9787194873325612,0.0281598275722309,200704,per_layer_weight_norm_rerun_7.csv
