cache_key,em_avg,em_max,em_sum,em_l1,em_l2,em_rms,em_std,entropy_effective_rank,participation_ratio,num_options,proxy_dimension_size,p_proxy_correct,wn_actor,wn_critic,wn_whole_model,wn_policy_net_0,wn_policy_net_2,wn_action_net,wn_value_net_0,wn_value_net_2,wn_value_net_out,weight_decay,hit_rate,proxy_hit_rate,correct,proxy_correct,episodes,mean_reward,fit_status,fit_L,fit_A,fit_tau,fit_L_err,fit_A_err,fit_tau_err,r_squared,rmse,fit_points_used
"('margin', 8.0, 1.6, 0.0, 4)",0.9502464224277508,1.4006821272679941,3.8009856897110033,3.8009856897110033,2.084358719281997,1.0421793596409985,0.39814243158400614,3.9919460388955206,3.9835606491433473,4,4,1.0,15.977397776462178,8.562890862670017,18.127336804762475,5.351000122815998,14.107280432097545,5.256298717070742,2.8718368191510737,8.004952526638274,0.9981924946789672,0.0,1.0,1.0,500,500,500,1.0,ok,0.995597174288274,0.8883808104586342,25397.563036997588,9.735693067939354e-05,0.0003859153297131,19.128744917988826,0.9752783856870908,0.0307521062285198,200704
"('margin', 15.0, 0.25, 0.0, 4)",0.14483017017100272,0.20427324905229075,0.5793206806840109,0.5793206806840109,0.31595381214908125,0.15797690607454062,0.058124335486990746,3.973466048027894,3.9452679963397985,4,4,1.0,26.88864446917994,8.669711591848582,28.251780483286264,8.088909778623307,24.5246963299413,7.490528012591436,2.8035093744598143,8.128520685590592,1.1096782133012573,0.0,1.0,1.0,500,500,500,1.0,ok,0.9610252035333926,0.8152954761579153,56088.12381297222,0.0002166594582593,0.0002940661842266,55.90727498770656,0.9750041567690148,0.0334919339769637,200704
"('margin', 15.0, 2.5, 0.0, 4)",1.448301701710027,2.042732490522907,5.793206806840108,5.793206806840108,3.1595381214908125,1.5797690607454062,0.5812433548699075,3.973466048027892,3.945267996339798,4,4,1.0,16.294729417416846,8.511124621677395,18.38361904284772,5.246511174323032,14.386527245329592,5.569574589133615,2.8604580646768945,7.954566606634367,0.990904680867688,0.0,1.0,1.0,500,500,500,1.0,ok,0.9818663241194732,0.8275099978311575,36434.84900974922,0.0001045168681607,0.0002736237977784,24.46089787543485,0.9831721395934973,0.026090549776137,200704
"('margin', 15.0, 0.4, 0.0, 4)",0.23172827227360437,0.3268371984836652,0.9269130890944175,0.9269130890944175,0.50552609943853,0.252763049719265,0.09299893677918522,3.973466048027894,3.9452679963397976,4,4,1.0,24.165352733292856,8.646154958505603,25.665546327537147,7.153408235914433,21.956006353130228,7.122275504087242,2.844560460519775,8.0912337838091,1.0938040083510536,0.0,1.0,1.0,500,500,500,1.0,ok,0.9605724810570936,0.8103976466303553,49552.49187647741,0.0001757628652327,0.0002910612243603,44.70097212180853,0.9765529772124096,0.0319060166249069,200704
"('margin', 15.0, 4.0, 0.0, 4)",2.3172827227360435,3.268371984836652,9.269130890944174,9.269130890944174,5.0552609943853,2.52763049719265,0.9299893677918519,3.973466048027894,3.9452679963397985,4,4,1.0,15.151251211653753,8.511911002745594,17.378522439991865,4.770247084677949,13.486254436228071,4.9926042614130255,2.926339171402226,7.933392603872602,0.9749101319598306,0.0,1.0,1.0,500,500,500,1.0,ok,0.9927950554975769,0.8479853771035475,32436.816487591757,9.551995436452011e-05,0.0002899771501281,21.174924876027664,0.9829979803235116,0.0261059527056163,200704
"('margin', 15.0, 0.65, 0.0, 4)",0.37655844244460707,0.5311104475359559,1.5062337697784283,1.5062337697784283,0.8214799115876112,0.4107399557938056,0.15112327226617597,3.973466048027892,3.9452679963397963,4,4,1.0,21.706978222459743,8.687938979355811,23.381043331283397,6.379743455701711,19.601537057518744,6.802317397217829,2.888366198148229,8.122654668058061,1.077081964327429,0.0,1.0,1.0,500,500,500,1.0,ok,0.9586114169167682,0.8098390988359238,44549.24804025394,0.0001492325796994,0.0002922682445566,37.25803798021806,0.977692923822347,0.0306511071844814,200704
"('margin', 15.0, 6.5, 0.0, 4)",3.7655844244460708,5.311104475359559,15.062337697784283,15.062337697784283,8.214799115876112,4.107399557938056,1.5112327226617597,3.973466048027892,3.945267996339797,4,4,1.0,14.019922889478291,8.504381090561381,16.397644207642003,4.148479712894707,12.65730935478696,4.37502843371799,2.853293439608137,7.953938125982615,0.9581662533335848,0.0,1.0,1.0,500,500,500,1.0,ok,0.997596581774432,0.8713254903470595,27961.855086409967,8.670247085284266e-05,0.0003115144414911,17.913443230063805,0.9825405014964188,0.0260449373302664,200704
"('margin', 15.0, 1.6, 0.0, 4)",0.9269130890944175,1.3073487939346609,3.70765235637767,3.70765235637767,2.02210439775412,1.01105219887706,0.3719957471167409,3.973466048027894,3.9452679963397976,4,4,1.0,18.293471812044093,8.526825235915368,20.18310827256037,5.711087403632698,16.329493101198608,5.948297795506438,2.8939878105466748,7.956264911672847,1.0146091915283777,0.0,1.0,1.0,500,500,500,1.0,ok,0.9771885124922892,0.8127514219093733,39280.35208293248,0.0001160257081414,0.0002738516477801,28.129849877960115,0.9818318560328134,0.0270840649742219,200704
"('heatmap', 1.0, 2, 4)",1.5487775235023087,4.48385628899606,12.39022018801847,12.39022018801847,5.618462021153669,1.9864262974984181,1.204702240260281,4.656164147159433,4.05021746635413,4,8,1.0,12.15932430130478,8.872786269869382,15.05242517520295,5.144523047090912,10.644112385199243,2.843575498118438,3.941432139951514,7.891862568936835,0.953915127227537,,1.0,,500,,500,1.0,ok,1.0013339760423556,0.969239995151795,9659.700260664269,2.8964470438306528e-05,0.0004019408457612761,5.78231723969037,0.9568874383787614,0.01975462741533202,503808
"('heatmap', 1.0, 6, 4)",14.110444901863625,246.71952265070917,338.65067764472707,338.65067764472707,257.42541785529545,52.54674338068498,50.48137498704968,5.33339866746207,4.631006652885642,4,24,0.999995,14.124531229536158,12.262821705707472,18.705057568478974,6.87298566829467,12.13304688914432,2.248026610915364,6.1201473044821135,10.617317187687018,0.4395098331737972,,1.0,,500,,500,1.0,ok,1.001533121633699,0.9704085469396981,10381.53295248406,3.254040778925406e-05,0.0004342367758361685,6.716293595128228,0.9500150153501022,0.022124554185169874,503808
